Field
Mkt_Ccode
Mkt_Fl_No
Dep_Airport
Arr_Airport
Date
Day_Week
Sched_Dep_Time_OAG
Gate_Dep_Time_Actual
Sched_Arr_Time_OAG
Gate_Arr_Time_Actual
Sched_Elapsed_Time_CRS
Actual_Gate_Gate_Time
Dep_Delay_Time_Actual
Arr_Delay_Time_Actual
Elapsed_Time_Diff_Actual
Wheels_Off_Time_Actual
Wheels_On_Time_Actual
Tail_Number
Cancel_Code
Mins_Late_Delay_Code_E_Carrier
Mins_Late_Delay_Code_F_Weather
Mins_Late_Delay_Code_G_NAS
Mins_Late_Delay_Code_H_Security
Mins_Late_Delay_Code_I_Late_Arr_Flight
First_Gate_Dep_Time
Total_Ground_Away_From_Gate
Longest_Ground_Time_Away_From_Gate
No_Landings_At_Div_Airport
